Tile_id,X1,X2,Y1,Y2
X0003_Y0003,0,250,0,250
X0003_Y0003,750,1000,0,250
X0003_Y0003,750,1000,250,500
X0003_Y0003,750,1000,500,750
X0003_Y0003,1000,1250,0,250
X0003_Y0003,1000,1250,250,500
X0003_Y0003,1000,1250,500,750
X0003_Y0003,1250,1500,250,500
X0003_Y0003,1250,1500,500,750
X0003_Y0003,1500,1750,500,750
X0003_Y0002,250,500,0,250
X0003_Y0002,500,750,250,500
X0003_Y0002,1000,1250,500,750
X0003_Y0002,1250,1500,500,750
X0003_Y0002,1500,1750,250,500
X0003_Y0002,2000,2250,0,250
X0003_Y0002,2000,2250,250,500
X0003_Y0002,2250,2500,250,500
X0003_Y0002,2500,2750,0,250
X0003_Y0002,2500,2750,250,500
X0003_Y0002,2750,3000,0,250
X0003_Y0002,2750,3000,250,500
X0003_Y0002,2750,3000,500,750
X0003_Y0002,2750,3000,750,1000
X0002_Y0003,0,250,1250,1500
X0002_Y0003,0,250,1500,1750
X0002_Y0003,0,250,1750,2000
X0002_Y0003,0,250,2000,2250
X0002_Y0003,0,250,2250,2500
X0002_Y0003,0,250,2500,2750
X0002_Y0003,0,250,2750,3000
X0002_Y0003,250,500,1250,1500
X0002_Y0003,250,500,1500,1750
X0002_Y0003,250,500,1750,2000
X0002_Y0003,250,500,2000,2250
X0002_Y0003,250,500,2250,2500
X0002_Y0003,250,500,2500,2750
X0002_Y0003,250,500,2750,3000
X0002_Y0003,500,750,1250,1500
X0002_Y0003,500,750,1500,1750
X0002_Y0003,500,750,1750,2000
X0002_Y0003,500,750,2000,2250
X0002_Y0003,500,750,2250,2500
X0002_Y0003,500,750,2500,2750
X0002_Y0003,500,750,2750,3000
X0002_Y0003,750,1000,1000,1250
X0002_Y0003,750,1000,1250,1500
X0002_Y0003,750,1000,1500,1750
X0002_Y0003,750,1000,1750,2000
X0002_Y0003,750,1000,2000,2250
X0002_Y0003,750,1000,2250,2500
X0002_Y0003,750,1000,2500,2750
X0002_Y0003,750,1000,2750,3000
X0002_Y0003,1000,1250,1000,1250
X0002_Y0003,1000,1250,1500,1750
X0002_Y0003,1000,1250,1750,2000
X0002_Y0003,1000,1250,2000,2250
X0002_Y0003,1000,1250,2250,2500
X0002_Y0003,1000,1250,2500,2750
X0002_Y0003,1000,1250,2750,3000
X0002_Y0002,250,500,2750,3000
X0002_Y0002,1750,2000,2500,2750
X0002_Y0002,1750,2000,2750,3000
X0002_Y0002,2000,2250,2500,2750
X0002_Y0002,2000,2250,2750,3000
X0002_Y0002,2250,2500,1500,1750
X0002_Y0002,2250,2500,2500,2750
X0002_Y0002,2500,2750,1250,1500
X0002_Y0002,2500,2750,1500,1750
X0002_Y0002,2500,2750,1750,2000
X0002_Y0002,2500,2750,2000,2250
X0002_Y0002,2500,2750,2250,2500
X0002_Y0002,2500,2750,2500,2750
X0002_Y0002,2500,2750,2750,3000
X0002_Y0002,2750,3000,1250,1500
X0002_Y0002,2750,3000,1500,1750
X0002_Y0002,2750,3000,1750,2000
X0002_Y0002,2750,3000,2000,2250
X0002_Y0002,2750,3000,2250,2500
X0002_Y0002,2750,3000,2500,2750
X0002_Y0002,2750,3000,2750,3000
